"";"p_val";"avg_logFC";"pct.1";"pct.2";"p_val_adj"
"Rmst";2,62653302770966e-07;-0,797463990049138;0,242;0,716;0,000206970802583521
"Fezf2";2,71430165012594e-07;-0,79904914334933;0,485;0,838;0,000213886970029924
"Lig1";2,77643550815575e-07;-0,832811151552788;0,394;0,824;0,000218783118042673
"Cplx2";2,88016644364611e-07;-0,856562817704609;0,303;0,716;0,000226957115759314
"Id2";3,39634770599335e-07;-0,886609364257584;0,303;0,73;0,000267632199232276
"Erh";3,6492139507299e-07;-0,625838673110207;0,758;0,986;0,000287558059317516
"Dnajc9";3,94876804921257e-07;-0,715448503827595;0,515;0,892;0,000311162922277951
"Map1b";4,38084893695359e-07;-0,682774651074447;0,788;1;0,000345210896231943
"Mex3b";4,48575715275626e-07;-0,689566924475397;0,303;0,824;0,000353477663637193
"Cks2";4,54378649754308e-07;-1,00076968071867;0,333;0,703;0,000358050376006395
"Ckap2l";4,76238180637967e-07;-0,895158879969103;0,121;0,635;0,000375275686342718
"Rrm1";5,13940709175864e-07;-0,726186947193961;0,273;0,811;0,000404985278830581
"Birc5";5,38686363401247e-07;-0,85446259486756;0,182;0,662;0,000424484854360182
"Plcxd2";5,7850844574482e-07;-0,802185808939619;0,303;0,73;0,000455864655246918
"Hspa8";5,89324418675516e-07;-0,621054783169297;0,818;1;0,000464387641916307
"Cmip";6,56374813767376e-07;-0,588959584962629;0,788;0,905;0,000517223353248692
"C130071C03Rik";7,4051236523694e-07;-0,69985104653656;0,394;0,919;0,000583523743806709
"Pou3f3";8,01569908595009e-07;-0,676393337565371;0,758;0,973;0,000631637087972867
"Ccdc34";8,50721071607112e-07;-0,720157138069028;0,545;0,865;0,000670368204426405
"Kif21a";8,62502491616985e-07;-0,755875576205687;0,485;0,892;0,000679651963394184
"Mcm2";1,04813541638301e-06;-0,694907068311357;0,455;0,838;0,000825930708109809
"Gng2";1,11056540443206e-06;-0,671800694742586;0,576;0,824;0,000875125538692464
"Foxg1";1,23968140046769e-06;-0,600950328230737;0,758;0,946;0,000976868943568536
"Ppp2r2b";1,31394712977192e-06;-0,861962754189055;0,182;0,608;0,00103539033826027
"Hjurp";1,37182175730758e-06;-0,776398315135763;0,303;0,784;0,00108099554475838
"Smc4";1,42021007348804e-06;-0,893697620223072;0,606;0,838;0,00111912553790857
"Ccnd2";1,42567128497714e-06;-0,853404785948308;0,818;1;0,00112342897256199
"Gadd45g";1,50296411538024e-06;-0,910124131324941;0,364;0,878;0,00118433572291963
"Ncapd2";1,52640623285299e-06;-0,822131986567485;0,455;0,784;0,00120280811148816
"Shmt2";1,71088187956885e-06;-0,692755508312111;0,636;0,905;0,00134817492110025
"Rnd2";1,88942743099951e-06;-0,952362879064062;0,303;0,622;0,00148886881562761
"Kif23";1,97521915276725e-06;-0,961135652138449;0,091;0,568;0,0015564726923806
"Lhx2";2,00808795445992e-06;-0,657726980431533;0,758;0,986;0,00158237330811441
"Mcm5";2,07108731223807e-06;-0,707568469400891;0,303;0,757;0,0016320168020436
"Spc24";2,29408360718691e-06;-0,691696680356995;0,545;0,838;0,00180773788246329
"Srrm4";2,2968941000272e-06;-0,984460173212872;0,061;0,743;0,00180995255082143
"Kcnq1ot1";2,69813030106978e-06;-0,662498709820269;0,758;0,959;0,00212612667724299
"Mcm7";2,74232814202195e-06;-0,633579638318429;0,606;0,946;0,00216095457591329
"Mat2a";2,96466460442207e-06;-0,598112098745377;0,788;0,932;0,00233615570828459
"Enc1";2,97553148482331e-06;-0,700007453237938;0,485;0,865;0,00234471881004077
"Ncam1";3,19515876977964e-06;-0,739823928538381;0,515;0,851;0,00251778511058635
"Rprm";3,24662935396549e-06;-0,718787294392723;0,333;0,743;0,00255834393092481
"Bcl11a";3,3160824006855e-06;-0,770791573577512;0,636;0,878;0,00261307293174017
