"";"p_val";"avg_logFC";"pct.1";"pct.2";"p_val_adj"
"Rnf165";8,51378628313328e-08;-0,878461554817445;0,333;0,757;6,70886359110903e-05
"Olfm1";8,9732666697908e-08;-0,916403632682546;0,152;0,743;7,07093413579515e-05
"Cmip";9,44550116832948e-08;-0,713102700010445;0,788;0,892;7,44305492064363e-05
"Hmgn2";1,05989202171961e-07;-0,734570743070067;0,727;0,959;8,3519491311505e-05
"Syt7";1,06418004076483e-07;-0,950728539016816;0,152;0,716;8,38573872122683e-05
"Top1";1,21629537752307e-07;-0,603704927515574;0,97;1;9,58440757488177e-05
"Calm1";1,29130265463922e-07;-0,645398767886166;0,97;0,986;0,00010175464918557
"Zic3";1,55609731633272e-07;-1,03469668125762;0,121;0,635;0,000122620468527018
"Kdm5b";1,56322238062404e-07;-0,825582269928111;0,424;0,824;0,000123181923593174
"Gnao1";2,13098101511963e-07;-0,853842407711056;0,364;0,824;0,000167921303991427
"Nt5dc2";3,05030998981814e-07;-0,790497992423974;0,273;0,77;0,00024036442719767
"Id2";3,07403738878621e-07;-1,10130569502154;0,303;0,662;0,000242234146236353
"Rab3a";3,47749023701584e-07;-0,827430860525719;0,152;0,716;0,000274026230676848
"Wnt5a";3,57998821590381e-07;-0,883015276038358;0,152;0,676;0,00028210307141322
"Cacna2d1";3,86374832495488e-07;-0,919086472402515;0,242;0,649;0,000304463368006444
"Hist3h2ba";4,3669577430405e-07;-0,822933867460983;0,152;0,757;0,000344116270151591
"Apc";4,48006617377595e-07;-0,802215642373107;0,303;0,757;0,000353029214493545
"Tubb5";4,97059819952988e-07;-0,645253560023251;1;1;0,000391683138122954
"Nfasc";5,79117403344194e-07;-0,818141693802498;0,121;0,77;0,000456344513835225
"Mapt";6,39154458658466e-07;-1,08012611133066;0,394;0,743;0,000503653713422871
"Plxna2";6,44342487656047e-07;-0,952401842957657;0,242;0,595;0,000507741880272965
"Cnih2";9,82565896988322e-07;-0,776961620900193;0,424;0,811;0,000774261926826798
"Vcan";1,07342071689805e-06;-0,908783661657761;0,212;0,649;0,00084585552491566
"Frmd4b";1,07653601575606e-06;-0,752011952193888;0,273;0,73;0,000848310380415773
"Srrm4";1,20113540959597e-06;-1,05350651693457;0,061;0,784;0,000946494702761624
"Ptprf";1,33372335090034e-06;-0,664310747022909;0,636;0,946;0,00105097400050947
"Csrnp3";1,65275525424055e-06;-0,807474661530013;0,061;0,703;0,00130237114034156
"Apc2";1,89546662503281e-06;-0,81781587835286;0,152;0,608;0,00149362770052586
"Tcf4";2,36478987283993e-06;-0,662527613194579;0,848;1;0,00186345441979787
"Zeb2";2,77502598927774e-06;-0,769883740872472;0,273;0,662;0,00218672047955086
"Ankrd12";3,15052240079838e-06;-0,748562914949942;0,273;0,689;0,00248261165182912
"Ccng2";3,93135317125806e-06;-0,705211096385267;0,121;0,676;0,00309790629895135
"Scn3a";4,82139868892132e-06;-0,970134935311364;0,061;0,622;0,00379926216687
"Nhlh2";5,30061894131081e-06;-1,37703134491962;0,03;0,797;0,00417688772575292
"Syt11";6,21050509139989e-06;-0,630138778701483;0,697;0,959;0,00489387801202311
"Homer2";7,16421739941359e-06;-0,764055690825512;0,394;0,662;0,00564540331073791
"Tenm4";7,20762493020612e-06;-0,706588617325366;0,424;0,838;0,00567960844500242
"C130071C03Rik";7,68540749658731e-06;-0,670979869854263;0,394;0,865;0,0060561011073108
"Ubald2";7,86924427385333e-06;-0,573305829349685;0,364;0,743;0,00620096448779642
"Cxxc5";8,2309127060738e-06;-0,705665729331286;0,394;0,676;0,00648595921238616
"Mir99ahg";1,20977806064283e-05;-0,676153243241731;0,273;0,703;0,00953305111786549
"Dlgap4";1,35548361295408e-05;-0,604529863335056;0,576;0,77;0,0106812108700782
"Ina";1,58894277836327e-05;-0,926532252688491;0,364;0,541;0,0125208690935026
"Zfhx2";1,61508966824265e-05;-0,807772666964861;0,061;0,662;0,0127269065857521
"Draxin";1,6908134738478e-05;-0,828517218561593;0,152;0,622;0,0133236101739207
"Celf4";1,96899268846638e-05;-0,813195421956217;0,394;0,743;0,0155156623851151
"Sez6";2,01892449083667e-05;-0,746575843957859;0,121;0,514;0,015909124987793
"Cntnap2";2,08057545426362e-05;-0,694378241018306;0,242;0,649;0,0163949345795973
"Chd7";2,13932420585437e-05;-0,671634304367291;0,697;0,946;0,0168578747421325
"Prox1";2,23446782299024e-05;-0,69969525541507;0,061;0,554;0,0176076064451631
"Cplx2";2,60014428605599e-05;-0,613210201457061;0,303;0,595;0,0204891369741212
"Islr2";3,04257623146049e-05;-1,18007180976081;0,03;0,568;0,0239755007039086
"Epha3";3,3581162073463e-05;-0,710944671687587;0,121;0,541;0,0264619557138888
"Mpped2";3,42943831407474e-05;-0,609770661066608;0,455;0,757;0,0270239739149089
"Hnrnpab";3,99605923691415e-05;-0,459940722622515;0,909;0,986;0,0314889467868835
"Syn2";4,03881906027594e-05;-0,77313593805907;0,061;0,541;0,0318258941949744
"Lhx2";4,24027681156608e-05;-0,570151074286878;0,758;0,973;0,0334133812751407
"Socs2";4,58278800050396e-05;-0,619772808699586;0,212;0,622;0,0361123694439712
"Thra";4,71956102675766e-05;-0,571400114846618;0,576;0,851;0,0371901408908504
"Sorl1";5,64290261593959e-05;-0,624421634637205;0,273;0,581;0,044466072613604
"Kif5a";6,04679110121485e-05;-0,761319000838923;0,061;0,5;0,047648713877573
"H3f3b";6,14086604479321e-05;-0,508370451879399;0,939;0,986;0,0483900244329705
"Cxcr4";6,74174175410349e-05;-0,632967431834369;0,091;0,541;0,0531249250223355
"Ppp3ca";8,05867815437479e-05;-0,599145372210788;0,545;0,838;0,0635023838564733
"Lhx9";9,69967408465537e-05;-0,939365438616393;0,03;0,608;0,0764334317870844
"Trp53inp2";0,000109762370264102;-0,902767207702158;0,03;0,676;0,0864927477681122
"Gng3";0,00011365814782409;-0,647125757712645;0,182;0,473;0,0895626204853831
"Flrt3";0,000119420826513286;-0,660609125602988;0,273;0,649;0,0941036112924697
"Sema3c";0,000133561869306433;-0,626392987031302;0,091;0,459;0,105246753013469
"Mdga1";0,00014052653200704;-0,622476973267342;0,273;0,581;0,110734907221547
"Epha5";0,00014106127562099;-0,703783732060604;0,273;0,622;0,11115628518934
"1810041L15Rik";0,000169106378153522;-0,627688678456607;0,061;0,514;0,133255825984975
"Wnt8b";0,000174190419161965;-0,585548937312203;0,152;0,5;0,137262050299629
