"";"p_val";"avg_logFC";"pct.1";"pct.2";"p_val_adj"
"Homer2";6,72087506005698e-05;-0,53680192058346;0,394;0,653;0,052960495473249
"Epha4";7,30334253726386e-05;-0,553259818134695;0,697;0,86;0,0575503391936392
"Rif1";7,59208723124982e-05;-0,55269516970869;0,485;0,769;0,0598256473822486
"Map1b";7,60804291525462e-05;-0,478217396783623;0,788;0,992;0,0599513781722064
"Birc5";8,0082754918012e-05;-0,639895876267535;0,182;0,521;0,0631052108753934
"Tead2";8,40701752604336e-05;-0,472799335696925;0,515;0,86;0,0662472981052217
"Tsc22d1";8,79698537155012e-05;-0,516981260041859;0,758;0,95;0,0693202447278149
"Fut9";8,95411943616007e-05;-0,528490945979454;0,455;0,802;0,0705584611569414
"Ubc";9,90000293076592e-05;-0,556555043190525;0,758;0,934;0,0780120230944354
"Aurkb";0,000100966496635134;-0,717755188994759;0,03;0,446;0,0795615993484854
"Fxyd6";0,000107895115476331;-0,499152170153337;0,424;0,711;0,0850213509953492
"Id4";0,000111286652512469;-0,572822379354102;0,545;0,901;0,0876938821798259
"Rrm2";0,000119511048220463;-0,693973574035313;0,485;0,818;0,0941747059977245
"Ckap2";0,000121176566047797;-0,619756878764808;0,364;0,579;0,0954871340456643
"Tspan18";0,000124642392617439;-0,50472802684601;0,242;0,57;0,0982182053825419
"Sox6";0,000129022616697399;-0,542224298653325;0,333;0,76;0,10166982195755
"Slbp";0,000131659727513426;-0,511684841882248;0,364;0,711;0,103747865280579
"Lmo4";0,00013951000327509;-0,525518795967754;0,576;0,793;0,109933882580771
"Sgol2a";0,000140214740889102;-0,5927799607232;0,152;0,471;0,110489215820613
"Smc2";0,000141488320947327;-0,624371655641506;0,424;0,719;0,111492796906494
"Hopx";0,000145372528930536;-0,914602488064317;0,03;0,529;0,114553552797262
"Cks1b";0,000148522542581099;-0,562113177841282;0,303;0,686;0,117035763553906
"Knstrn";0,00014905067946427;-0,891689612846119;0,03;0,529;0,117451935417844
"Gnao1";0,000151476040676831;-0,559606751913537;0,364;0,702;0,119363120053343
"Pcna-ps2";0,000153371649559884;-0,611227620960105;0,212;0,62;0,120856859853189
"Cdca2";0,000153530954912466;-0,588795888117261;0,121;0,471;0,120982392471023
"Erh";0,000165324393077157;-0,489276036471516;0,758;0,934;0,1302756217448
"Limch1";0,000165677323128626;-0,521205123743258;0,273;0,628;0,130553730625357
"Hmmr";0,00016588510769746;-0,632135308093494;0,121;0,455;0,130717464865598
"Six3";0,000171726340463644;-0,792696588221947;0,242;0,421;0,135320356285352
"Ildr2";0,000191760985617591;-0,551571277232169;0,424;0,702;0,151107656666662
"Dnajc9";0,000208969127453002;-0,48233673339773;0,515;0,81;0,164667672432965
"Tmem47";0,000213697107581087;-0,512100368767947;0,394;0,694;0,168393320773897
"Pvrl3";0,000215077577996468;-0,49262708196507;0,394;0,769;0,169481131461217
"Mt2";0,000218709129463817;-0,768475433619702;0,212;0,57;0,172342794017488
"Ube2s";0,000222682695710004;-0,570797950814851;0,576;0,81;0,175473964219483
"Mcm6";0,000224306118874694;-0,588575094115633;0,364;0,669;0,176753221673259
"Mycn";0,000234035727841717;-0,514317693167889;0,545;0,702;0,184420153539273
"Nusap1";0,000234509918246995;-0,669516308851672;0,303;0,479;0,184793815578632
"Ccnb2";0,000252762406403071;-0,618608619417597;0,333;0,521;0,19917677624562
"Ncapd2";0,000262455282638979;-0,522785097143104;0,455;0,736;0,206814762719516
"Sorl1";0,000263389866394551;-0,469074273128993;0,273;0,603;0,207551214718907
"Slc7a5";0,000284062579420432;-0,535955011687054;0,364;0,603;0,2238413125833
"Nfic";0,000285376287663654;-0,51896277172486;0,515;0,802;0,22487651467896
"Ubald2";0,000294536327634101;-0,503719272391628;0,364;0,587;0,232094626175672
"Pou3f2";0,000310781546233608;-0,505057525887942;0,182;0,504;0,244895858432083
"Mcm5";0,000317252617411772;-0,534281379106287;0,303;0,669;0,249995062520477
"Ascl1";0,000330044674015533;-0,651030846550137;0,061;0,38;0,26007520312424
"Sfrp2";0,000353880177302775;-0,78198015265416;0,364;0,488;0,278857579714587
"Pbk";0,000362828962249249;-0,577789470506093;0,182;0,529;0,285909222252408
"Dpysl3";0,000404515966089165;-0,572172862630835;0,758;0,818;0,318758581278262
"Spc24";0,000442677754603927;-0,490120535625266;0,545;0,76;0,348830070627894
"Ptn";0,000448705899356609;-0,621881124305904;0,545;0,802;0,353580248693008
"Mcm7";0,000469686651871738;-0,499484922708187;0,606;0,868;0,37011308167493
"Rhoc";0,000478685339026619;-0,476607483834861;0,182;0,529;0,377204047152976
"Tle1";0,000498349358655212;-0,462514296936756;0,273;0,595;0,392699294620307
"Kif22";0,000550411442888604;-0,696026355265887;0,03;0,471;0,43372421699622
"Rrm1";0,000578704529115346;-0,479691689739085;0,273;0,669;0,456019168942893
"Npas3";0,000588965650562461;-0,511013704168571;0,212;0,562;0,464104932643219
"Col2a1";0,00061674803988869;-0,485078704422539;0,333;0,545;0,485997455432288
"Cntnap2";0,000623052105763956;-0,511053958996733;0,242;0,554;0,490965059341997
"Plxna2";0,000661771606450887;-0,464453099983956;0,242;0,521;0,521476025883299
"Dab1";0,000737369362933207;-0,447568174005672;0,364;0,661;0,581047057991367
"Nrn1";0,000784813715063077;-0,500152079894051;0,152;0,529;0,618433207469705
"Soga3";0,000822114367668083;-0,400997217210701;0,212;0,537;0,647826121722449
"Peg3";0,000832172883330765;-0,57742417687541;0,242;0,603;0,655752232064643
"Nap1l1";0,000876376082192145;-0,378173276462848;0,909;0,992;0,69058435276741
"Apc";0,000904026628282185;-0,413440504910004;0,303;0,612;0,712372983086362
"Ptprf";0,000951629242591986;-0,409691947051933;0,636;0,893;0,749883843162485
"Ubn2";0,000969954565093876;-0,415632754447623;0,424;0,719;0,764324197293974
"Aurka";0,000997359431999349;-0,557285804237843;0,182;0,397;0,785919232415487
"Sfrp1";0,00114704804394169;-0,524117853380349;0,636;0,785;0,903873858626049
"Tuba1c";0,00116914169388478;-0,692725024237631;0,273;0,421;0,921283654781206
"H1f0";0,00122263993071124;-0,536013605138166;0,697;0,884;0,963440265400458
"Ccnd2";0,00128881778716927;-0,498905068925619;0,818;0,983;1
"Anln";0,0014290603098258;-0,451244370292686;0,121;0,38;1
"Pak3";0,00143947508420767;-0,588274236511521;0,333;0,512;1
"Epha5";0,00148680408810501;-0,447391188140508;0,273;0,603;1
"Wwtr1";0,00152875530534291;-0,375955042052185;0,364;0,711;1
"Ntrk3";0,00155561381910302;-0,439630110683324;0,152;0,504;1
"Uchl1";0,00159442180309927;-0,38050791110028;0,576;0,826;1
"Dkk3";0,0016874453019388;-0,539294505444036;0,061;0,289;1
"Pnisr";0,0016922805067707;-0,410401578912603;0,636;0,909;1
"Six3os1";0,00177606506078084;-0,799204096956458;0,03;0,215;1
"Gpt2";0,00186431541337865;-0,403217643913461;0,121;0,438;1
"Lockd";0,00199628718549552;-0,457337625388406;0,333;0,554;1
"Tmem2";0,00207541030741455;-0,351910452006304;0,364;0,595;1
"Rufy3";0,00212162652691845;-0,383197510394026;0,121;0,405;1
"Grb10";0,00217924495035465;-0,348630909286528;0,818;0,934;1
"Dhfr";0,00224832601520525;-0,414087176946292;0,333;0,661;1
"Esco2";0,002518363797812;-0,451147273347755;0,212;0,405;1
"Snrk";0,00252908014664236;-0,376545034613061;0,061;0,388;1
"Tfap2c";0,00282348627636137;-0,436772426935414;0,273;0,521;1
"Plagl1";0,00328298741720809;-0,385119644677817;0,697;0,843;1
"Fbxo5";0,00343360626049249;-0,421282483675623;0,242;0,512;1
"Exosc2";0,0034338878693776;-0,716385529724129;0,455;0,661;1
"Wnt5a";0,00356423255489936;-0,38137309856931;0,152;0,372;1
"St8sia2";0,00361749266315058;-0,457002533858558;0,424;0,595;1
"Calm1";0,00365667436975923;-0,309484347470652;0,97;0,992;1
"Flrt3";0,00382181690541005;-0,412827781726622;0,273;0,587;1
"Shmt2";0,00400313972150979;-0,428382499563684;0,636;0,826;1
"Tmsb10";0,00428300420886995;-0,347107968455459;0,848;0,934;1
"Gapdh";0,00462357264028437;-0,320534367497425;1;0,992;1
"Ect2";0,00475979170508608;-0,405627405706438;0,273;0,471;1
"Sox3";0,00488225482967133;-0,383045832290571;0,364;0,628;1
"Id3";0,00526198393324876;-0,393240995322582;0,091;0,314;1
"Cxcr4";0,00576555195376507;-0,332213260502058;0,091;0,322;1
"1810041L15Rik";0,00585299310702014;-0,343950773674611;0,061;0,298;1
"Bach2";0,00614820250929243;-0,476991140276935;0,394;0,645;1
"Tcf7l1";0,00618799869084353;-0,344902879691721;0,333;0,62;1
"Foxg1";0,00631933795243164;-0,357040150402268;0,758;0,86;1
"Zbtb18";0,00632429220012891;-0,351483990460085;0,394;0,678;1
"Mis18bp1";0,00634482085682114;-0,442863621243361;0,333;0,471;1
